Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
"1,1,2,2-Tetrachloroethane",43818,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.04,-0.04,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,119,Intermittent,PERSONAL PUMP MOLECULAR SIEVE,GC/MS,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.14,-0.14,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,908,Intermittent,SKC Pump Charcoal Tube,GC/MS REAC SOP 1816,,,,0.18,-0.18,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,101,Intermittent,Canister Subambient Pressure,Multi Detector GC,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821,176,Intermittent,6L Subatm SS Canister,Entech Precon GC/MS,,,,0.032,-0.032,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,51,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,4,-4,,0,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.25,-0.25,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.04,-0.04,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.08,-0.08,,3,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,117,Intermittent,TENAX SORBENT CARTRIDGE,GC/MS,,,,0.08,-0.08,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.14,-0.14,,2,R,Parts per billion Carbon
"1,1,2-Trichloroethane",43820,901,Intermittent,SKC Pump Charcoal Tube,GC/FID NIOSH 1003,,,,1.51,-1.51,,2,R,Parts per billion Carbon
"1,1-Biphenyl, chloro (TSP) STP",17809,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane",43134,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane",43134,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,1-Dichloroethane",43813,51,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,4,-4,,0,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.3,-0.3,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,117,Intermittent,TENAX SORBENT CARTRIDGE,GC/MS,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.05,-0.05,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.06,-0.06,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.08,-0.08,,2,R,Parts per billion Carbon
"1,1-Dichloroethane",43813,901,Intermittent,SKC Pump Charcoal Tube,GC/FID NIOSH 1003,,,,1.8,-1.8,,2,R,Parts per billion Carbon
"1,1-Dichloroethenylidene bis(4-chlorobenzene)",43166,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,1-Dichloroethenylidene bis(4-chlorobenzene)",43166,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,1-Dichloroethylene",43826,51,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,226,-226,,0,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,2,-2,,0,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.02,-0.02,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECRIV DET,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.6,-0.6,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1-Dichloroethylene",43826,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1-Difluoroethane",43854,171,Intermittent,6L Pressurized Canister,Precon Saturn GC/MS,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-",43139,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-",43139,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,2,3,4,5,6- Hexachlorocyclohexane",43138,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,2,3,4,5,6- Hexachlorocyclohexane",43138,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-",43140,167,Intermittent,GMW HI VOL 2000H,FINNIGAN MAGNUM GC/MS,,,,3,-3,,1,R,Nanograms/cubic meter (25 C)
"1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-",43140,178,Intermittent,Hi Vol PUF/XAD,GC-MS,,,,0.5,-0.5,,2,R,Nanograms/cubic meter (25 C)
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP",16919,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP",16926,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP",16927,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP",16922,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP",16917,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP",16923,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP",16918,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP",16925,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP",16920,101,Intermittent,HI-VOL/PUF,GC-MS,,,,2,0,,0,R,Pg/cubic meter(25 C)
"1,2,3-Trichloropropane",43604,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,91,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.63,-0.63,,2,R,Parts per billion Carbon
"1,2,3-Trimethylbenzene",45225,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,2.06469,-2.06469,,4,R,Parts per billion Carbon
